id,date,year,gender,transfer,mental_health,social_distancing,drag_50,sexist_comment,support_eating,stop_svsh,receive_info,social_media_year,asian,black,latino,native hawaiian or pacific islander,white,other:,prefer not to answer,undergrad_student,1st_year,2nd_year,3rd_year,4th_year,5th_year_plus,bachelor_degree,no_college,some_college,read_daily,read_less_weekly,read_daily_more,read_weekly,write_daily,write_less_weekly,write_more_daily,write_weekly,outcome,treatment,recall,page_1,page_2
R_2Ww2RqGNH9yctjs,2021-04-06 16:52:23,2000,1,0,90,51,50,60,61,90,0,upperclassmen_treatment,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,56.775,22.549
R_3qe5vira5vFiYOW,2021-04-06 17:35:11,2000,1,0,78,36,50,61,71,96,11,underclassmen_control,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,5,0,0,22.165,15.179
R_21gN207HSdeja1t,2021-04-06 19:08:49,2001,1,0,97,8,50,57,92,70,0,underclassmen_treatment,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,21,1,1,35.486,24.2
R_1PaTouXujEuwlqR,2021-04-06 19:27:18,2000,1,0,92,81,50,81,85,86,11,upperclassmen_control,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,5,0,1,36.229,27.076
R_2PALXRePS8B62fv,2021-04-06 20:16:01,1999,1,0,91,78,50,20,64,95,0,upperclassmen_control,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,4,0,1,19.706,11.24
R_2Wv5Vcff1y9HWcD,2021-04-06 20:36:44,1999,1,1,95,73,50,80,93,91,0,underclassmen_control,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,56.377,20.492
R_stEIdugC439cttD,2021-04-06 21:04:43,1999,1,1,37,35,50,75,95,77,11,upperclassmen_treatment,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,14,1,0,42.301,27.572
R_1po0s9GkeDfy9Kx,2021-04-06 21:53:48,2000,1,0,25,35,50,33,23,16,11,upperclassmen_treatment,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,75,1,0,13.018,10.997
R_vVaxtLjlMcDxiQF,2021-04-06 21:21:52,1998,0,0,50,10,50,70,70,90,0,upperclassmen_control,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,43.893,29.575
R_1gLsqvHMIyLieBe,2021-04-06 18:33:32,2002,1,0,55,30,50,30,60,91,0,underclassmen_treatment,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,29.66,19.374
